qid	dqid	start_id	end_id	start_details	end_details	start_ts	end_ts
3	5CD27100-281D-9DF5-410C-B8E9DED16058	15	NULL	{"goalTime":"6:55"}	NULL	1526013735000	NULL
3	6BCDECE0-3D69-B797-8D3B-A4D71EB81F0B	36	37	NULL	{"time":10.366666666667,"won":true}	1526018767000	1526018799000
3	548863AF-70DA-2959-65F1-F12202627FF3	142	NULL	{"goalTime":"7:35"}	NULL	1526020629000	NULL
3	CC76D8E2-C040-0467-A3C8-2053AF2265C6	143	144	NULL	{"time":12.983333333334,"won":true}	1526020630000	1526020649000
3	C85BF5C8-EDD3-82C7-9D7C-4227BCBA9F2A	199	NULL	{"goalTime":"7:35"}	NULL	1526020979000	NULL
3	D47E9893-B0BC-0DE6-8B91-F9DDC3109ED2	200	201	NULL	{"time":8.6333333333333,"won":true}	1526020979000	1526020993000
3	9B7131A9-4AB1-ADB6-180D-469AE455E684	238	NULL	{"goalTime":"7:35"}	NULL	1526021530919	NULL
3	FF871F5B-5DD0-939F-740B-1F7C9C91F69F	239	240	NULL	{"won":true,"time":11.716666666667}	1526021530920	1526021547221
3	D8F60C84-F552-B867-CDF1-8A0D5C5756D0	322	NULL	NULL	NULL	1526068434346	NULL
3	5761BCB5-09BE-2E09-BB64-32EE3CA47C71	323	NULL	{"goalTime":"7:35"}	NULL	1526068434344	NULL
3	911DC9B8-4F6B-021B-E378-699716508DE6	333	NULL	{"goalTime":"7:35"}	NULL	1526068704350	NULL
3	D65CA421-5D99-AC7E-FDD7-D3EC2358A2E7	334	NULL	NULL	NULL	1526068704351	NULL
3	57AE1816-65FB-BD82-73CD-54F9F9B91DB2	339	NULL	{"goalTime":"7:35"}	NULL	1526068853429	NULL
3	8160CB9A-8050-8808-AE43-5EDFEF475F2E	340	NULL	NULL	NULL	1526068853430	NULL
3	58499F6D-03CF-338B-0703-CDD69055A7F5	369	NULL	NULL	NULL	1526069631712	NULL
3	91D8A86B-9399-5555-4687-5F34AA282D5D	370	371	{"goalTime":"7:35"}	{"won":true,"time":5.75}	1526069631711	1526069640712
3	C2E43526-52F9-19A1-2D68-B1F8343657EF	419	421	{"goalTime":"7:35"}	{"won":true,"time":7.0666666666666}	1526071455489	1526071466145
3	5D8C18ED-1692-94FF-95E4-3B7A7B226AC2	420	NULL	NULL	NULL	1526071455489	NULL
3	052E86B6-46F4-F0F5-0A3C-95CCBA6DA09E	481	NULL	{"goalTime":"7:35"}	NULL	1526078763000	NULL
3	6B8F4FF0-E209-3A5B-69C6-6431726E60C8	482	490	NULL	{"time":80.03333333333,"won":true}	1526078764000	1526078861000
3	81ED0B0E-7AD8-8BF3-F83C-40F9D86C1C91	674	NULL	{"goalTime":"7:35"}	NULL	1526083675000	NULL
3	78C9AB78-7B2A-A338-BCDC-F574221F4B8D	675	676	NULL	{"time":7.6383344094211e-14,"answer":"9:30","won":false}	1526083676000	1526083690000
3	33260A6C-0FC9-6E7A-242D-C4296AD70DB7	802	NULL	{"goalTime":"7:35"}	NULL	1526088334000	NULL
3	FC557B71-7D64-39F8-9ACB-500F13B418DC	803	804	NULL	{"time":6.0666666666667,"won":true}	1526088335000	1526088345000
3	7EF00E62-86A3-4499-1BD3-452441DF4184	1509	NULL	{"goalTime":"7:35"}	NULL	1526162379000	NULL
3	34983857-0C13-4054-397A-57CC6F2F6C46	1510	1511	NULL	{"time":14.25,"won":true}	1526162379000	1526162399000
3	93A83949-3E77-0A60-B1C6-AB6ECE5ECE78	1548	NULL	{"goalTime":"7:35"}	NULL	1526164895000	NULL
3	524D59DB-44AE-01AE-4CEA-768084B1CE15	1549	1550	NULL	{"time":13.1,"won":true}	1526164896000	1526164915000
3	9295DAE6-3D11-005E-3F50-10BB30149D11	1967	NULL	{"goalTime":"7:35"}	NULL	1526216683000	NULL
3	DD7855DF-7260-141B-FAD2-80F25505BE63	1968	1969	NULL	{"time":12.3,"won":true}	1526216684000	1526216706000
3	D2E897C4-4A54-1EE7-F5CA-06B4C014426E	1975	NULL	{"goalTime":"7:35"}	NULL	1526216952000	NULL
3	A5336452-3F04-7B8D-BBAE-0B556FFA5998	1976	1977	NULL	{"time":7.55,"won":true}	1526216958000	1526216980000
3	4191B865-8463-0ECE-D83A-EFC2855F835A	2011	NULL	{"goalTime":"7:35"}	NULL	1526245387000	NULL
3	CC4A3A62-D659-A5D0-8443-509C86ED5BEF	2012	2013	NULL	{"time":10,"won":true}	1526245389000	1526245405000
