qid	dqid	start_id	end_id	start_details	end_details	start_ts	end_ts
7	7490123F-E912-2F02-8CA7-6A390DDC34DD	260	NULL	NULL	NULL	1526034120000	NULL
7	410CADBD-6D6B-EFF4-6F55-96402FB9D241	275	NULL	{"goalTime":"8:6"}	NULL	1526062679000	NULL
7	0657D964-F699-8C42-C34F-C1A31B0E8863	279	280	NULL	{"time":39.533333333332,"answer":"","won":false}	1526062738000	1526062812000
7	9BABD9E6-C7D9-E506-BA1E-322B46A2690D	451	NULL	NULL	NULL	1526076253000	NULL
7	DC0BF31A-2B8A-1C74-82F4-0F9AD38E1121	467	NULL	{"goalTime":"8:41"}	NULL	1526078578153	NULL
7	33855AC4-0BCC-423D-5814-75C8C0EBA213	474	NULL	NULL	NULL	1526078639485	NULL
7	D562DA8A-C811-AE12-09E9-3260A18B18C0	504	NULL	{"goalTime":"8:26"}	NULL	1526078966739	NULL
7	7329706F-B380-FAAA-2A21-72F2D203B96F	515	NULL	NULL	NULL	1526079033455	NULL
7	F43456FB-D673-EE7C-A768-987EB81354C5	529	NULL	{"goalTime":"7:41"}	NULL	1526079153892	NULL
7	E2C51A51-672D-B9F0-3ACE-4EF957A567F4	546	NULL	{"goalTime":"8:23"}	NULL	1526079572723	NULL
7	0AD474FF-06C7-4109-9CD2-9934AE4217F2	598	603	{"goalTime":"7:44"}	{"won":false,"time":65.033333333331,"answer":"0 0 0 0 8 \\/\\/\\/ Correct: 32520"}	1526082624265	1526082697450
7	44AFF6F0-C7B1-6691-1BC0-3F831A4D2CF9	607	NULL	NULL	NULL	1526082700739	NULL
7	C5072091-CA14-A31C-BB6E-C15560378388	616	617	{"goalTime":"7:12"}	{"won":false,"time":47.083333333332,"answer":"0 1 6 2 9 \\/\\/\\/ Correct: 37620"}	1526082869407	1526082937440
7	2D1430EA-80F1-B896-E3C9-7926B02DDB8A	618	NULL	NULL	NULL	1526082940509	NULL
7	5EEC68F1-D4A3-0A93-AD4E-B7B8FAF405AD	637	638	{"goalTime":"6:47"}	{"won":false,"time":17.266666666667,"answer":"0 0 4 0 7 \\/\\/\\/ Correct: 35580"}	1526083351641	1526083398222
7	415947F3-31B2-5C9D-A2C6-970B87CAADED	639	NULL	NULL	NULL	1526083401493	NULL
7	E23BC1EE-5EF5-E962-6014-0B6C6D56A42B	665	666	{"goalTime":"7:26"}	{"won":true,"time":44.449999999999}	1526083553477	1526083601405
7	939C190C-AE74-22D2-717B-71D653331BA6	667	NULL	NULL	NULL	1526083604467	NULL
7	24FDE51D-9B83-F2F5-E9AF-1C2A1C3D8DCA	690	694	{"goalTime":"7:5"}	{"won":false,"time":60.999999999998,"answer":"2 8 1 2 0 \\/\\/\\/ Correct: 39300"}	1526084094923	1526084180114
7	994D156C-8C2F-8976-6833-7296B6B699A6	695	NULL	NULL	NULL	1526084183196	NULL
7	2F1615B0-A982-65BA-1FDE-2E3FEA1AA422	729	NULL	{"goalTime":"8:15"}	NULL	1526085401126	NULL
7	110FC955-E416-2A85-12F1-9C8494651276	733	743	NULL	{"won":false,"time":5.5820237321313e-11,"answer":"1010:35"}	1526085507356	1526085875759
7	FDCEBD15-EA88-47AF-3798-2CA58C9A8A36	755	NULL	{"goalTime":"8:46"}	NULL	1526086044028	NULL
7	9F9FB1FE-2322-DE4F-E295-ADE544197593	759	NULL	NULL	NULL	1526086086265	NULL
7	8498B819-65AF-3917-1824-E1ADDA174838	771	NULL	{"goalTime":"7:15"}	NULL	1526086237397	NULL
7	C5BD5255-4CF3-DDD7-CEC3-D56C0CB6C782	774	NULL	NULL	NULL	1526086493633	NULL
7	A63E8CC9-48F9-9FF1-4A14-6BE18BB7C673	812	821	{"goalTime":"6:29"}	{"won":false,"time":32.333333333333,"answer":"3 0 8 4 9 \\/\\/\\/ Correct: 30840"}	1526088378779	1526088467828
7	F76C4ACD-99C8-B59D-14CF-7A3C07B96B60	823	NULL	NULL	NULL	1526088470911	NULL
7	FDD832F9-5282-3B43-1AD1-E090BF67E991	866	873	{"goalTime":"6:16"}	{"won":true,"time":13.466666666667}	1526088969127	1526089092698
7	8A61FB71-C8FA-A9B0-D5EB-1DC704E139BB	875	NULL	NULL	NULL	1526089111582	NULL
7	7F2B7269-2EE0-C6F9-415A-0E3987EE2B35	909	NULL	{"goalTime":"8:14"}	NULL	1526098714742	NULL
7	969416DE-0737-C49C-6AC6-DED6EE2B14AF	911	NULL	NULL	NULL	1526098759287	NULL
7	34B183BA-61A9-E544-E774-880F5424D1CF	940	941	{"goalTime":"6:17"}	{"won":false,"time":58.999999999998,"answer":"0 3 6 0 3 \\/\\/\\/ Correct: 25020"}	1526100622449	1526100691457
7	C1B203E3-27BE-00E1-B07E-C9FB25343A4B	943	NULL	NULL	NULL	1526100694603	NULL
7	A96DE84C-3379-5740-002F-561616CE61D4	1002	NULL	{"goalTime":"8:16"}	NULL	1526105869010	NULL
7	2C5941E1-5326-6ED0-6E87-FF9025A49E3A	1010	1031	NULL	{"won":true,"time":184.05000000004}	1526106009641	1526106230115
7	608167DC-A23C-A958-3822-9FAB1DF11DA3	1036	1050	{"goalTime":"6:17"}	{"won":false,"time":97.899999999996,"answer":"2 2 6 2 0 \\/\\/\\/ Correct: 36540"}	1526106230793	1526106337265
7	0F057349-0B0C-E340-6314-58BE0C0B87E0	1052	NULL	{"goalTime":"8:8"}	NULL	1526106356711	NULL
7	124DE667-93B6-3EEF-0BDF-23193D0613D0	1053	NULL	NULL	NULL	1526106340403	NULL
7	A44B2E31-6FA4-69EA-93BD-FB6882609957	1057	1058	{"goalTime":"7:24"}	{"won":false,"time":22,"answer":"0 0 5 8 4 \\/\\/\\/ Correct: 38760"}	1526106376421	1526106420475
7	BD63D994-1883-400C-37AC-00BB1D523D6C	1059	NULL	NULL	NULL	1526106423985	NULL
7	054FDA70-4470-A264-12E3-8C1B538101D3	1062	NULL	NULL	NULL	1526106455623	NULL
7	E4A6A75A-8FC7-A5CF-7202-5AAF6E319CC4	1093	1110	{"goalTime":"8:21"}	{"won":true,"time":53.966666666665}	1526106640016	1526106703032
7	23B79296-3F9F-9BFE-72DC-415C87251059	1107	NULL	{"goalTime":"8:27"}	NULL	1526106723935	NULL
