aid	qid	uid
30	6	1745581C-E6DE-6762-517C-AA078B2614FD
21	6	1745581C-E6DE-6762-517C-AA078B2614FD
12	6	1745581C-E6DE-6762-517C-AA078B2614FD
40	6	1745581C-E6DE-6762-517C-AA078B2614FD
41	6	1745581C-E6DE-6762-517C-AA078B2614FD
30	6	4ED66055-8322-E8E0-FAB8-25B30379EF9D
21	6	4ED66055-8322-E8E0-FAB8-25B30379EF9D
11	6	4ED66055-8322-E8E0-FAB8-25B30379EF9D
40	6	4ED66055-8322-E8E0-FAB8-25B30379EF9D
41	6	4ED66055-8322-E8E0-FAB8-25B30379EF9D
62	6	4ED66055-8322-E8E0-FAB8-25B30379EF9D
15	8	4ED66055-8322-E8E0-FAB8-25B30379EF9D
12	8	4ED66055-8322-E8E0-FAB8-25B30379EF9D
30	6	E57B29B2-F5A6-2785-FDB5-D175A11C5C2F
21	6	E57B29B2-F5A6-2785-FDB5-D175A11C5C2F
12	6	E57B29B2-F5A6-2785-FDB5-D175A11C5C2F
72	9	4ED66055-8322-E8E0-FAB8-25B30379EF9D
40	6	E57B29B2-F5A6-2785-FDB5-D175A11C5C2F
41	6	E57B29B2-F5A6-2785-FDB5-D175A11C5C2F
30	6	7D03317C-BA83-5AEC-A39F-5AEC24895694
75	7	1745581C-E6DE-6762-517C-AA078B2614FD
62	8	1745581C-E6DE-6762-517C-AA078B2614FD
62	8	1745581C-E6DE-6762-517C-AA078B2614FD
62	8	1745581C-E6DE-6762-517C-AA078B2614FD
62	8	1745581C-E6DE-6762-517C-AA078B2614FD
62	8	1745581C-E6DE-6762-517C-AA078B2614FD
62	8	1745581C-E6DE-6762-517C-AA078B2614FD
75	7	E57B29B2-F5A6-2785-FDB5-D175A11C5C2F
62	8	E57B29B2-F5A6-2785-FDB5-D175A11C5C2F
12	8	E57B29B2-F5A6-2785-FDB5-D175A11C5C2F
30	8	E57B29B2-F5A6-2785-FDB5-D175A11C5C2F
51	10	4ED66055-8322-E8E0-FAB8-25B30379EF9D
50	10	4ED66055-8322-E8E0-FAB8-25B30379EF9D
30	10	4ED66055-8322-E8E0-FAB8-25B30379EF9D
62	10	4ED66055-8322-E8E0-FAB8-25B30379EF9D
13	10	4ED66055-8322-E8E0-FAB8-25B30379EF9D
51	10	E57B29B2-F5A6-2785-FDB5-D175A11C5C2F
50	10	E57B29B2-F5A6-2785-FDB5-D175A11C5C2F
62	10	E57B29B2-F5A6-2785-FDB5-D175A11C5C2F
30	10	E57B29B2-F5A6-2785-FDB5-D175A11C5C2F
12	10	E57B29B2-F5A6-2785-FDB5-D175A11C5C2F
75	5	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
30	6	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
30	6	164DD44A-4F1B-8E4B-252C-243A58F005A6
21	6	164DD44A-4F1B-8E4B-252C-243A58F005A6
40	6	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
41	6	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
62	6	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
62	6	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
12	6	164DD44A-4F1B-8E4B-252C-243A58F005A6
62	8	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
62	8	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
62	8	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
11	8	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
40	6	164DD44A-4F1B-8E4B-252C-243A58F005A6
41	6	164DD44A-4F1B-8E4B-252C-243A58F005A6
62	7	164DD44A-4F1B-8E4B-252C-243A58F005A6
15	8	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
16	12	4ED66055-8322-E8E0-FAB8-25B30379EF9D
62	8	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
30	8	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
62	9	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
62	12	4ED66055-8322-E8E0-FAB8-25B30379EF9D
62	12	4ED66055-8322-E8E0-FAB8-25B30379EF9D
75	11	E57B29B2-F5A6-2785-FDB5-D175A11C5C2F
62	12	4ED66055-8322-E8E0-FAB8-25B30379EF9D
50	12	4ED66055-8322-E8E0-FAB8-25B30379EF9D
12	12	4ED66055-8322-E8E0-FAB8-25B30379EF9D
62	8	164DD44A-4F1B-8E4B-252C-243A58F005A6
30	12	E57B29B2-F5A6-2785-FDB5-D175A11C5C2F
12	12	E57B29B2-F5A6-2785-FDB5-D175A11C5C2F
14	8	164DD44A-4F1B-8E4B-252C-243A58F005A6
51	10	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
50	10	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
62	10	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
13	10	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
15	10	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
30	8	164DD44A-4F1B-8E4B-252C-243A58F005A6
18	14	4ED66055-8322-E8E0-FAB8-25B30379EF9D
62	14	4ED66055-8322-E8E0-FAB8-25B30379EF9D
62	14	4ED66055-8322-E8E0-FAB8-25B30379EF9D
17	14	4ED66055-8322-E8E0-FAB8-25B30379EF9D
75	11	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
12	14	4ED66055-8322-E8E0-FAB8-25B30379EF9D
12	12	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
62	12	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
16	12	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
72	15	4ED66055-8322-E8E0-FAB8-25B30379EF9D
51	10	164DD44A-4F1B-8E4B-252C-243A58F005A6
50	10	164DD44A-4F1B-8E4B-252C-243A58F005A6
62	14	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
16	10	164DD44A-4F1B-8E4B-252C-243A58F005A6
17	14	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
15	10	164DD44A-4F1B-8E4B-252C-243A58F005A6
16	14	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
62	14	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
62	14	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
18	14	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
75	15	4ED66055-8322-E8E0-FAB8-25B30379EF9D
12	16	4ED66055-8322-E8E0-FAB8-25B30379EF9D
75	15	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
62	16	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
62	16	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
30	16	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
30	6	F09E6309-E735-D510-782A-346160F9EFCE
21	6	F09E6309-E735-D510-782A-346160F9EFCE
21	6	F09E6309-E735-D510-782A-346160F9EFCE
13	6	F09E6309-E735-D510-782A-346160F9EFCE
75	17	4ED66055-8322-E8E0-FAB8-25B30379EF9D
75	11	164DD44A-4F1B-8E4B-252C-243A58F005A6
40	6	F09E6309-E735-D510-782A-346160F9EFCE
41	6	F09E6309-E735-D510-782A-346160F9EFCE
50	12	164DD44A-4F1B-8E4B-252C-243A58F005A6
62	12	164DD44A-4F1B-8E4B-252C-243A58F005A6
62	12	164DD44A-4F1B-8E4B-252C-243A58F005A6
62	12	164DD44A-4F1B-8E4B-252C-243A58F005A6
16	18	4ED66055-8322-E8E0-FAB8-25B30379EF9D
13	12	164DD44A-4F1B-8E4B-252C-243A58F005A6
30	18	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
62	18	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
62	18	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
50	18	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
62	8	F09E6309-E735-D510-782A-346160F9EFCE
30	8	F09E6309-E735-D510-782A-346160F9EFCE
62	18	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
62	18	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
15	8	F09E6309-E735-D510-782A-346160F9EFCE
72	9	F09E6309-E735-D510-782A-346160F9EFCE
30	14	164DD44A-4F1B-8E4B-252C-243A58F005A6
11	14	164DD44A-4F1B-8E4B-252C-243A58F005A6
15	14	164DD44A-4F1B-8E4B-252C-243A58F005A6
72	15	164DD44A-4F1B-8E4B-252C-243A58F005A6
72	15	164DD44A-4F1B-8E4B-252C-243A58F005A6
71	15	164DD44A-4F1B-8E4B-252C-243A58F005A6
71	15	164DD44A-4F1B-8E4B-252C-243A58F005A6
75	15	164DD44A-4F1B-8E4B-252C-243A58F005A6
50	16	164DD44A-4F1B-8E4B-252C-243A58F005A6
30	16	164DD44A-4F1B-8E4B-252C-243A58F005A6
30	6	6124EDFC-838D-48BE-382E-DE2C0431F1DF
