count(dqid)	uid
9	0063C98A-D9AE-B373-5522-BFF246FE8ED4
20	017E08B2-4B8E-B051-3074-98F063C2E478
10	017F703E-DDD1-136E-E465-59CB08FD4A7E
20	03C79D6F-AADD-0BC5-1762-A9C59EC3A6EF
9	06374ABE-9923-09FC-F840-C90F4649B534
9	090633AA-BD14-8480-5ED6-C3056A31B779
9	091F8FD9-808F-8C93-3249-A65A53E37654
20	0960C7E1-7361-13CA-2922-CF044F28E8A5
114	1160E7E2-F33B-A4C5-06D3-78185D8FD0ED
9	1612A429-3E48-98D9-B53A-3EC7B6469E78
9	1704795E-FEB2-6323-14F1-A6C4FFEB7C2F
9	1745581C-E6DE-6762-517C-AA078B2614FD
20	1808B7EC-D377-DD9C-0E06-6203B0A67C68
8	195A2E6C-18BF-64D0-065A-81D8ACBE4811
5	1DF9F942-0341-C65E-82E2-A3ACE8DEFBA7
20	200C20A7-60B0-7277-C94B-32B5C6EFAF7B
5	2015A0F0-3214-5C2C-2074-0B23D8AFEAFE
20	23B2E571-A1E3-0965-610A-48BA1C4AE5CA
17	264D0257-F23A-47A8-B3D0-3C515A461C46
20	27B1A3D5-BB81-C739-0DC5-C7646A01A124
19	3279E1E0-BB7B-04A3-442A-554521117B32
9	32B7A8B6-8A5B-A6A0-7DDE-909192BB0C52
3	39A5FD34-BF14-8D7F-3387-5316614D64D1
7	461B6EC8-07C8-FCDD-6FB6-842021C7CEE5
22	4B5B794D-6C39-D5C9-7137-9C35ED879227
5	5459F116-B792-6191-29E4-3989C7BAADB8
9	56090BE2-6FF5-A284-215D-D90A3FDEC8EF
18	5B62CB54-6E6E-82D2-D9B4-0ACED780F105
52	5F335B42-840F-FC44-1564-F447AD5AC9A4
11	620DBAD8-9B05-2EC8-8A09-51459B87ABC6
9	69494D5F-74F0-8D57-2D41-CCBE6E537991
6	6A567411-F491-E8ED-6279-D34A53C9517C
13	6C03911D-B8DC-0D79-5752-7492A0150487
9	6CB9A6BB-5A77-B7B4-8396-3AD26696C9DB
15	6FD3E47D-A178-3337-41C2-0B923D5EBEC0
20	7024986B-5223-4596-1E40-F4D00525096D
19	73BE0E6A-5443-1AB1-5300-19513F3CF052
9	76D185F2-3870-625D-1279-2E276424D6CB
5	77C8E9D9-B3F4-09E7-389D-AD4FF23A6B1A
7	7D03317C-BA83-5AEC-A39F-5AEC24895694
20	7E0F52E3-70DF-1E73-9AB8-FB863AF3DAC7
4	7EF0DFCC-09BB-7571-BA99-B82DA542D84C
9	8054FB9A-CAB1-8B3D-7968-3FA6DAD9FEEC
11	84B92C1C-E5C7-A9B5-F611-D3A51DFB27D2
44	85FB7D44-5096-5967-C5DC-F373775E1AD9
9	883D8831-B642-B827-1BA9-57641283803F
6	8D1CD4D9-539C-B259-6DD2-B5C7AA6DD4AC
22	8F7A2B06-EF0E-3F6E-41B0-814C4F0EC2A0
20	94B9CADA-861F-1DFB-7BB5-C7B8807E2594
9	95E1BE30-AA96-9D3D-2B55-C5D69F9EBFEF
30	9A81973D-8053-1D50-C858-5A029602CBB7
9	9DEF3F38-69DB-E7B1-CC7C-14699A3A3448
9	A25DCEC7-0C3A-3FD6-FCE3-52816BDD51C2
6	A736F384-1D24-96EA-6045-A645C9A89C56
50	A8B3B454-DB97-DA5B-79E5-6B4338195460
22	AF62150F-80E6-BB64-EEA0-3AC152203BE7
16	B20465B8-6C94-6F2F-2557-3DBE92FEDC7B
6	B449D8EC-0FD8-8E8C-A8EA-DA7D72D07AF9
9	B474613B-8A5E-A993-D8E3-79750EF4DC11
20	BF858DF9-B967-E201-34C2-48910A943B16
9	C41C1388-1902-8319-5303-0E1A8CA75464
7	C62A3BD3-8DB0-1E71-B26F-94F2444776DB
40	C634389D-86BC-B346-21CD-D86FD3DB140B
19	C73B7F7C-885B-3BBE-C2B0-BE33E3BD9052
6	CE9E6CC6-4679-5B84-06F0-83A71563E634
9	D0626146-56F8-66B6-4DD7-49BBE89200C6
12	D51808D5-0DFB-E812-95B8-B71032890177
11	D5E368AC-05B2-E0EA-55F1-E8E209B310AB
7	D61705C5-DE4E-6319-2C29-1CD58AD07F7C
5	D7A87350-A0ED-1CAA-74F4-6D9B984C3704
13	D9233A42-5A94-5E4D-94C7-53113EE31501
42	DFA09C17-13CB-F699-EC4D-A4C63A04E21A
20	E04DAE28-2A7B-96B4-259C-4E2328CFD914
4	E067C9AA-28C0-66FC-8593-8464F0F64E8E
31	E4D9A812-6422-EB3F-4BF6-A0FAA8D57E44
11	E6753629-93AF-4F03-2F8B-B8AFA9CD1872
15	E8BA5B1A-1B68-602A-9289-BE4A687FE3D5
11	EDAD10BD-C1EB-BD96-F780-281ECDA56C49
2	EF0C5353-5E05-88AD-A5D7-541FAB3A9422
13	EF40A014-1FCE-EA80-E4A9-54AEF624239D
7	F569E46A-2D3B-5061-44D7-D2ABC67AA6AE
21	F5BEE53B-AE97-F4ED-C39E-D37BAE54BC46
34	null
