count(dqid)	uid
13	005EAB3A-73AB-2484-B1F3-3FA74E190357
30	0118B33D-AACF-A999-9070-E07DB799BF19
23	0276F3BE-5D77-8015-961E-9C47F91BF6A2
3	02ADB0D8-5B89-2642-7F2C-69D6AD6FE0F8
28	03AF48E4-5F6D-BB97-DC84-AEEF68B356C4
25	03FCE490-7315-974C-77CA-EF121A45B1B7
20	04EA48E8-098E-97BE-53AF-8A3EA1A3D132
16	057E1C68-CDD1-D74D-6BB6-676CAA79472F
13	068C6145-7C59-159B-F306-5859FB5C19B4
18	06B93E8A-4A52-3BD6-EB69-44BCF701C3D0
14	06C431C0-149A-3996-C15E-D78FC048C50F
13	074375B5-CB6D-7E24-D44C-452463905E43
30	082620BC-58D9-DAFA-7959-97B7255B8D63
16	0A73FA71-1CDF-3AE2-7C67-E3CE4EF6456B
30	0A994E66-2B49-4990-B5E2-28E83E8ECC89
13	0B89BED1-4BDC-C1C6-A405-73FA4E203BBD
4	0BB07BAA-A3B5-C7EA-BC68-1E6642BFBCEE
6	0BF5E053-0E66-6F01-028C-088EFC073328
31	0D7564AE-61F6-9910-D3E6-869E373AB942
9	0D8F5CB0-3185-B692-F90F-7A4B038278A3
10	0DB594AB-9DE0-DC2D-4D3D-D7B61B6B4776
16	0F783233-6F7E-F07A-7750-FC2ABC32641D
25	10599CE6-B510-6975-E3F1-69BA4BB1DE10
13	107DDFA0-2FCD-9FA8-2320-EEFD57C61293
16	11354ABD-9657-6373-2893-77AAA6DCFB66
10	120770B5-DDF0-309F-7CE0-2D1B6F493032
13	1210D00B-2AE2-521E-79A2-6F7DBD2B4468
13	12DFE336-458D-16C0-B96E-58C2A8BF4824
16	13306F09-09C5-36B2-D662-CB62FF2777AA
2	14920119-A4F8-AAE2-2893-303F66A6B167
14	14F903DB-8305-6ED1-F95A-0DC807428835
7	1612F8E5-F4DA-BC98-0442-B12B7D62BE02
14	164DD44A-4F1B-8E4B-252C-243A58F005A6
16	1665C7CB-3710-69E4-A6C7-D226FEE9D231
19	1765CED4-3B17-51F1-07A5-70CAB6B1D7BC
14	17675415-7D22-9400-4C1C-8572BB5131AD
4	1825468E-1580-09BD-D151-75253A11A53E
4	18376F25-DE86-A029-5436-20ACE36A8601
7	1AC3A1F4-CCA3-3B95-596B-F284BBD8AD7F
57	1AC9340B-C5C3-D9EE-C27D-C9F8572E2474
4	1B8C995D-05E7-9CD1-A4B9-A4E71539F5F7
37	1C113AB2-2029-D049-B7F0-8DE3F314BD2F
22	1C670ABF-B4FF-D866-9572-40254877AE44
4	1D0CD079-C955-2EA4-C69C-BBFB0120448B
19	1D81FC04-72EB-BFCC-4E4F-AAF4235454A4
9	1D9D53B4-13AF-FD97-2CC2-CB2FA4D3734E
14	1DB12B6B-9A30-403C-4263-5346A60A0A2F
22	1EF53DFA-1081-F5B1-DC13-08BF1DB042A7
13	1F042FBC-0C96-D545-87C2-F187A3E8A963
168	1FB7A502-B1FA-FA01-A1C5-3BF9E1D3F0DC
4	20FFD0F7-DB26-858C-28D3-70738CD4F1FD
19	21E6CB24-C48B-30CE-D66C-57139A7E0F76
16	21FC0478-2BD1-6BEF-820F-40DFA80D1C22
13	22276D66-FC73-0FEB-38C2-291AE8F87597
7	224E3FA5-2BDB-7450-2F67-89777CB61AA4
30	23232C13-563E-7ACC-AD4C-EF56F6611D3F
16	23A06575-4672-9097-052E-F582C2FC0D6E
11	23E55EAA-17F4-C6FF-37B2-5C3DE22DBFE9
4	241FD241-A2E3-3C0F-8879-AC04FD2351DD
28	247D1FBC-5FBD-B02C-B103-499102818217
7	248B0113-97E7-9F87-9BFF-E3734A929BED
28	250E28AC-B93A-73D6-2431-AD825541A176
22	253D76A2-7E98-902C-ACF8-2A91BE3B3140
21	254E9C9B-1CDA-D57E-3B8A-48680D82711D
23	2557E516-43EC-D44C-1F7E-BE665081932C
53	25731034-12B7-D293-1807-B09EC1090B3C
7	25847E8E-F312-8003-BD57-6450D9E2B5C9
10	281C051F-6F68-E300-7800-8D749F1DD8D3
4	28351B77-CDED-BB31-1595-28C934336732
16	289E854B-219A-905A-23BE-2ECEFA9CCD44
4	29E31ACC-09C6-D93D-4621-181DFBA024E0
29	2A22DE98-943E-FFDC-A0FA-7AAB5072EEB7
16	2A6FB785-A3C2-B8C3-8C11-05CDFD2AD8D2
19	2B524857-24E8-96C3-109C-3598099433DD
16	2D830BFF-4E98-3B70-2459-BF42A9C4809A
11	2D90D163-776C-188E-928D-92B3C0AAD682
7	2E2A3B4D-E4D9-EF8C-D67F-36A13A5BAC19
30	2F08D7D2-B2DA-9383-E490-C3B5FEB6F180
28	306D1339-0DCF-E452-6C79-93E7FAF03F83
30	30E0E1AF-6D36-815D-9E7E-B1EE38966BF1
4	31C14767-0D1D-62CC-556B-0C6212987E2F
44	342B3EA9-83AA-A338-CAEF-11C385B19558
2	3565E3F9-DA89-1A68-ACFB-D7102973893A
16	356BF5CD-E677-02C3-1BFE-52281C1533BE
16	38071C4B-CA5E-EC5D-D396-0EC8933803C1
30	380FAA69-5BCD-9EAE-7FBC-E554C9BA8D4C
2	38625BA4-739F-CD05-E2A7-11A4D8770532
13	3933AE14-B8F0-0695-B591-80085B9C7CDE
16	396873D0-C277-E066-8302-6701EDABB134
61	39967840-4B76-635D-909C-7755136849F5
7	39A08215-AD54-CCCC-C693-4AE4883F4032
16	3A32D05C-E9A0-B51C-24D3-FD721C968814
7	3A4909A7-DAA4-0A6D-770B-C0FE7D6E7D73
12	3C99D26F-6D9B-EA13-0A3F-756BB00C6C92
13	3CFD7FA9-2FF4-67DE-1420-FF10F7386D2E
26	3DF72898-DD0D-D6CA-4BEB-EF1F54449491
4	3E48E140-63FB-9633-25A8-F1DB184388F7
30	3EB9DD82-47F7-25A3-0B10-6C59DCB0C965
30	3F239F8B-E20B-A021-870A-B7C6F4CA1896
10	401F6972-4DB2-CCD6-43C1-C5E6C6BC14A7
4	40422D53-533A-165B-4B9C-AB1050FB0921
16	40B90F6F-1DAA-B505-6D03-378C47371A16
19	40CBFD1D-64BA-045A-E677-B11CBE6A1999
16	4122860F-0C7F-891D-379C-C0812F34409A
15	41A01E95-607D-0DB2-4048-345BFE2C726A
16	4234BC77-76C8-626B-2A7B-DE50E91A64F1
13	4237BA31-4936-285B-1DBB-14DEB8BE229F
12	4291AEED-B429-2745-9948-CC177982AC1D
10	4338AD95-C810-2024-2A23-946BA96A08AB
62	43418E4E-867D-82F8-BA71-A2E10D042DB8
4	434EE593-B744-44AD-8198-27FA5AAB9085
16	43FD01AF-1975-91F0-07B7-600BDBE7872F
19	446276F5-A797-496D-9DD1-3FECD9CA87B2
13	446D3C49-DCCD-6C1E-3BA4-A9CD9DCD9E93
13	44982D8C-ACA4-2E0E-8FC5-DD06F2BD116E
14	44B69C31-392E-806C-008F-39D77C4187EE
30	45119637-9A86-FD0B-7C8D-0378B7C51F44
19	45411C02-A479-371B-5110-5B7B0DA6C6DB
10	46E90F8B-507D-38C6-CF0A-F75DE3762080
59	47130A70-8A31-9BDA-6CC1-CBB9BD3E412B
3	4820908F-68CF-409B-8057-ABE2E6ED5F24
7	48230442-4840-7D74-815D-945AFEA35113
2	482777AE-9826-414E-5562-2FFAC6F97FAF
30	4828A375-8D94-AE42-FA1E-D97DB24F0D5C
16	486A0056-D961-3F10-BA11-0214F50F4636
19	48DC39A4-21F5-5321-6B3F-53D34CE2D10A
13	49CE2A5E-E6FD-513E-710D-B6268F74BD81
4	49FD40CD-F71E-159E-6A68-8497623A8DEF
2	4C55D7A7-B3C1-8F67-6EA6-E538BDD7A469
30	4DC51392-1351-8CE9-B15C-F06D3AE78D3A
13	4E985E54-3EA4-3898-272E-0416CD29A095
25	4EF5B83A-C9DE-1142-AFC8-1AD5A409D33D
16	4F4F4A9A-F5BE-FAB4-4718-68572C5AC254
4	4FB0A471-2C57-AACC-4715-AEFAD5D7F069
8	51245804-5F97-7716-44F8-E7A9931F3BF0
21	514431DB-126D-449A-9EBD-660D81F46948
10	518CD0CB-2E06-2632-89C6-D29478FF7D08
