qid	dqid	start_id	end_id	start_details	end_details	start_ts	end_ts		
15	E8F261DC-2B73-61D5-18AA-7D8F90D2341B	24786	24797	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":82.766666666663,""answer"":""00:00""}"	1527550858	1527550948	05/29/2018 @ 12:00am (UTC)	05/28/2018 @ 05:00pm (PT)
15	569C115B-F6A9-6B4B-A069-BF5014C0108A	24932	24941	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":42.533333333332,""answer"":""00:00""}"	1527552051	1527552120		
15	A7A48FD3-EFBA-C931-BC97-9A78B3B7EAEF	25561	25593	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":148.73333333334,""answer"":""00:00""}"	1527556649	1527556802		
15	EA2A0BCA-5604-66AA-8D62-23A7A9DB2D90	25597	25617	"{""goalTime"":""7:35""}"	"{""won"":true,""time"":60.833333333331}"	1527556811	1527556882		
15	A93AF8A2-9EF3-DF51-9151-9A75886DDB4B	26004	26021	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":64.066666666664,""answer"":""00:00""}"	1527558743	1527558815		
15	5B401C93-4B78-FB6B-EC9F-B1CDD5F24D78	26179	26206	"{""goalTime"":""7:35""}"	"{""won"":true,""time"":117.31666666666}"	1527559999	1527560142		
15	E57C8FAC-8A21-EBBA-712C-02C2993F2689	26404	26427	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":2.742694960034e-11,""answer"":""00:00""}"	1527561108	1527561287		
15	E9A5A65B-708E-FC14-AF67-F48BA5F4F3D3	26735	NULL	"{""goalTime"":""7:35""}"	NULL	1527562890	NULL		
15	FC1A27AE-85C0-E98C-EE38-A91464AD031A	26869	26872	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":40.233333333332,""answer"":""00:00""}"	1527564147	1527564193		
15	3A8B02E9-9B50-2586-BDBE-6E637377370C	26875	26877	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":85.13333333333,""answer"":""00:00""}"	1527564257	1527564351		
15	20D3237F-16C2-287C-71D0-C3D44D73BF04	26894	26901	"{""goalTime"":""7:35""}"	"{""won"":true,""time"":94.499999999996}"	1527564644	1527564745		
15	804DC6D4-E370-B16F-BF9D-48A8BFE55CF4	26920	26921	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":126.83333333333,""answer"":""00:00""}"	1527565041	1527565203		
15	0963FFBF-5AD5-7E38-94B4-EE3C40E56BCB	26989	27002	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":118.26666666666,""answer"":""00:00""}"	1527565916	1527566044		
15	FC183337-894D-73AF-02CB-C87543CA2741	27032	NULL	"{""goalTime"":""7:35""}"	NULL	1527566449	NULL		
15	758CD4EE-176D-E0E5-3392-9B18137939E9	27036	27046	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":41.466666666666,""answer"":""00:00""}"	1527566524	1527566816		
15	CBE9C6B2-54F3-5519-77C5-DB0E78E29FBC	27075	27081	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":50.499999999998,""answer"":""00:00""}"	1527567232	1527567291		
15	D0578967-3D72-2EA7-8BB3-68B230C78638	27275	27313	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":181.63333333337,""answer"":""00:00""}"	1527568522	1527568721		
15	7CBEC26F-06C7-FA14-E629-6AC45E6E618F	27577	27598	"{""goalTime"":""7:35""}"	"{""won"":true,""time"":38.949999999999}"	1527572250	1527572418		
15	F762E5E3-E6C1-7F7B-2BF0-B5C4B8A5A01B	27724	27733	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":66.866666666664,""answer"":""00:00""}"	1527573227	1527573300		
15	3C69178C-BC26-583A-F8CA-BFEEBF9E3C54	27801	27807	"{""goalTime"":""7:35""}"	"{""won"":true,""time"":49.866666666665}"	1527573759	1527573816		
15	185C69AF-18D3-4B06-9127-E78330774ECA	27957	27959	"{""goalTime"":""7:35""}"	"{""won"":true,""time"":154.73333333335}"	1527575999	1527576159		
15	6905931C-086B-DC5B-1DE6-E37964EEE3D5	28043	28044	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":86.066666666663,""answer"":""00:00""}"	1527577155	1527577271		
15	F23289A1-94E9-B1D7-8600-DFFB4DB69C84	28160	28165	"{""goalTime"":""7:35""}"	"{""won"":true,""time"":68.749999999997}"	1527578780	1527578858		
15	9C49C854-B634-1BD1-89D6-7F7E55685F06	28457	28468	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":101.26666666666,""answer"":""00:00""}"	1527584586	1527584698		
15	1136CFF6-96FF-EAD5-C5EA-36727D399CB1	28528	28532	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":21.4,""answer"":""00:00""}"	1527585465	1527585534		
15	DDFE6817-01D1-6E73-7BCE-FFB5F1BF296C	28855	28858	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":63.633333333331,""answer"":""00:00""}"	1527592105	1527592175		
15	AF3BAA8A-BFF7-7F03-9BB7-A32F2EDEBC9C	29067	29071	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":72.699999999997,""answer"":""00:00""}"	1527595211	1527595288		
15	242676FE-3C26-EA49-A065-6494F8370808	29355	29356	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":123.61666666666,""answer"":""00:00""}"	1527598173	1527598306		
15	486549AB-54A0-D453-0ACD-A6F8E0A05531	29478	29481	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":134.76666666667,""answer"":""00:00""}"	1527600684	1527600830		
15	C449861C-D808-FC71-88C8-63410FCE17DA	29525	29540	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":107.15,""answer"":""00:00""}"	1527601230	1527601339		
15	83DA04A3-9AA0-77F4-43F4-AC4B61E17AC6	29592	29603	"{""goalTime"":""7:35""}"	"{""won"":true,""time"":65.333333333331}"	1527601627	1527601709		
15	9786A257-D6AA-C302-C0E0-C87E20B16B07	29807	29814	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":52.016666666665,""answer"":""00:00""}"	1527603196	1527603252		
15	9E8E0758-BAC8-B02D-62A8-8B1FE0E9B41D	29916	29917	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":13.233333333334,""answer"":""00:00""}"	1527604095	1527604113		
15	E8C20269-6808-2902-0A66-819925940E37	30029	30033	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":69.849999999997,""answer"":""00:00""}"	1527605577	1527605652		
15	EE36ED20-DC85-0019-1BC6-913259C7D208	30056	30060	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":41.516666666666,""answer"":""00:00""}"	1527605850	1527605896		
15	932A1D8B-4934-51A1-0B85-AB0137D3946C	30161	30165	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":106.23333333333,""answer"":""00:00""}"	1527607033	1527607156		
15	F86A7FB9-1637-9E68-A63D-E8DDD7B9FC5A	30430	30456	"{""goalTime"":""7:35""}"	"{""won"":true,""time"":126.83333333333}"	1527609777	1527609909		
15	C2C4C03A-35AA-047E-8B84-241D1E911A0C	30562	30589	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":9.1091578724445e-11,""answer"":""00:00""}"	1527610650	1527610961		
15	28E1E727-EDCC-E223-432E-596F11D0C591	30588	30590	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":57.166666666665,""answer"":""00:00""}"	1527610932	1527610996		
15	574BB168-4906-9055-325E-AA53A765BBEB	30664	30665	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":56.983333333331,""answer"":""00:00""}"	1527612182	1527612244		
15	048DC405-DEFC-8612-F566-ED48E6973884	30954	30969	"{""goalTime"":""7:35""}"	"{""won"":true,""time"":147.25000000001}"	1527616459	1527616616		
15	D1DDF355-90E3-7650-EE96-6469D895ACAC	30962	NULL	"{""goalTime"":""7:35""}"	NULL	1527616549	NULL		
15	260B2225-526E-0DAD-B2A7-DA09B0E2361B	31000	NULL	"{""goalTime"":""7:35""}"	NULL	1527617199	NULL		
15	FCBF5ED9-02BB-5366-C935-2BC81F39815C	31012	31015	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":218.75000000007,""answer"":""00:00""}"	1527617353	1527617585		
15	C56DD97C-82A2-1227-2AB6-11C0CAA5CC11	31204	31208	"{""goalTime"":""7:35""}"	"{""won"":true,""time"":21.816666666667}"	1527622429	1527622461		
15	3BEBD228-E270-0D08-A341-C092B950DC6A	31293	31302	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":87.23333333333,""answer"":""00:00""}"	1527623388	1527623486		
15	9EE5966E-3A71-B474-D072-85E1FEB5550C	31321	31326	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":47.616666666665,""answer"":""00:00""}"	1527623758	1527623811		
15	4D5C2593-BF8C-EA42-170D-33917D712B25	31418	31422	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":53.799999999998,""answer"":""00:00""}"	1527624932	1527624992		
15	E17287B8-5362-A556-9B82-832E8AC2CC4B	31612	31623	"{""goalTime"":""7:35""}"	"{""won"":true,""time"":50.083333333332}"	1527625609	1527625667		
15	837EA2E8-8062-A905-BD7C-7930301FE033	31697	31741	"{""goalTime"":""7:35""}"	"{""won"":true,""time"":53.783333333332}"	1527626178	1527626330		
15	9DBE20D3-597A-46CC-AD68-1F7CA5957757	32143	32163	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":16.866666666667,""answer"":""00:00""}"	1527627703	1527627760		
15	C5AC1923-5C42-C041-D4F2-2C1B516A47BE	32198	32266	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":97.699999999996,""answer"":""00:00""}"	1527627897	1527628190		
15	5E9DDC29-DFEB-5057-A929-DCF36DBD16B8	32518	32533	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":54.549999999998,""answer"":""00:00""}"	1527629148	1527629215		
15	2DB8A2D5-D379-207F-28C6-65D7B7336B36	32639	32649	"{""goalTime"":""7:35""}"	"{""won"":true,""time"":66.516666666664}"	1527629880	1527629965		
15	B8D265D7-F5BB-BD95-B231-FA378E2B9AF6	33673	33684	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":90.383333333329,""answer"":""00:00""}"	1527635446	1527635545		
15	81C0D4F1-DF38-280F-FE98-8A100CBA4EA9	33678	NULL	"{""goalTime"":""7:35""}"	NULL	1527635475	NULL		
15	17A329A7-B164-D2FC-15E5-9C8051439DF3	33735	33746	"{""goalTime"":""7:35""}"	"{""won"":true,""time"":130.63333333333}"	1527635899	1527636036		
15	32D91480-9E4A-F6B4-019B-CC9EE01A1F35	34044	34095	"{""goalTime"":""7:35""}"	"{""won"":false,""time"":190.16666666671,""answer"":""00:00""}"	1527638008	1527638211		
