qid	powerup	dqid	timestamp	q_detail
9	72	FA3AAD75-255E-D7EE-6544-ECF058CD022A	1527487448	{"won":true,"time":146.78333333334}
13	72	8A6B3759-E71E-BD81-375C-41AE07A7656D	1527487680	{"won":false,"time":76.049999999997,"answer":"00:00"}
9	72	6E4707F7-5EF3-81AF-2875-BD464571B865	1527487797	{"won":true,"time":120.21666666666}
5	71	595421F9-E3C3-7F42-DCBD-8A1DDDF38D7C	1527488128	{"won":false,"time":26.966666666666,"answer":"86:55"}
13	72	6A037501-D327-02A4-FA43-2355E05BDC4E	1527488248	{"won":true,"time":6.1333333333333}
13	72	6A037501-D327-02A4-FA43-2355E05BDC4E	1527488275	{"won":true,"time":6.1333333333333}
13	71	6A037501-D327-02A4-FA43-2355E05BDC4E	1527488347	{"won":true,"time":6.1333333333333}
15	72	A601A04D-38F2-BA56-AEC6-14FAE311B9DC	1527488704	{"won":false,"time":115.84999999999,"answer":"00:00"}
13	72	8AA320F8-5596-62C0-BC7D-357D4B61035D	1527493686	{"won":false,"time":146.71666666668,"answer":"00:00"}
5	71	A651D2AF-F1DC-3C01-2C36-BD79C4CDF5DD	1527495579	{"won":true,"time":21.733333333333}
9	72	5508E118-B14B-818B-27E2-2669EEF6C2FD	1527495902	{"won":false,"time":8.3133500083932e-11,"answer":"07:35"}
11	72	6938A659-B834-E584-9B4A-5C4B8BB3A510	1527496472	{"won":true,"time":233.05000000008}
13	72	AC3BA96E-5030-F969-99D4-9455FF99F5E4	1527496660	NULL
5	71	3D13E4F3-88E5-AC7F-99D8-3714071BE6F0	1527502864	{"won":false,"time":10.583333333333,"answer":"86:88"}
9	72	A7F47973-17D2-57B0-C1EE-9803D0D75B60	1527505667	NULL
9	71	A7F47973-17D2-57B0-C1EE-9803D0D75B60	1527505840	NULL
6	71	57F54A17-CFF9-2274-EB03-BEED6EE00925	1527510033	NULL
11	72	7698E54B-3A51-F616-33EC-28739D2307A1	1527510560	{"won":false,"time":275.86666666674,"answer":"05:40"}
15	72	14577292-27D9-F63D-4137-32D80BDCC90B	1527511559	{"won":false,"time":78.099999999997,"answer":"00:00"}
17	72	E914E4F8-7AC1-A876-4FD7-F63610D7E7E9	1527511795	{"won":true,"time":176.40000000003}
7	71	1783C1F8-63CC-4E4D-3D2B-C321B91E8912	1527511885	{"won":false,"time":31.616666666666,"answer":"0 0 4 1 6 \\/\\/\\/ Correct: 417"}
9	72	EFE3F694-D7F6-2CDD-AB63-5B97504517FB	1527513385	{"won":true,"time":57.533333333331}
13	72	CFCA840D-A4D6-7599-F1E9-717E05F25801	1527513927	{"won":false,"time":87.48333333333,"answer":"00:00"}
13	71	CFCA840D-A4D6-7599-F1E9-717E05F25801	1527513946	{"won":false,"time":87.48333333333,"answer":"00:00"}
15	72	E02C582B-FD7E-546B-119D-85895A1A474F	1527514111	NULL
15	72	D6ED5D63-7288-8887-BD44-9C8C5DE75DA2	1527514220	{"won":true,"time":53.633333333332}
15	72	3C0FD1BE-4CD8-005F-F384-323441C20A28	1527514484	NULL
5	71	8481BCED-273A-7E12-54D8-7EC05542AF2A	1527515629	{"won":true,"time":18.05}
9	72	738774AE-F0A7-43B8-EEE4-D767718E394E	1527515895	{"won":true,"time":144.53333333334}
13	72	9BC8E60A-B639-92E6-E851-E9CA70EF9F31	1527516422	{"won":false,"time":83.216666666663,"answer":"00:00"}
15	72	B627B79E-521A-33CE-C367-1E4D360DC4A7	1527516584	{"won":true,"time":123.89999999999}
9	71	DD0663BB-A09C-3481-5155-FE2839EADFDE	1527517681	{"won":true,"time":65.533333333331}
15	72	4B352940-C55B-B23D-F943-EF630F3EF9F3	1527518241	{"won":false,"time":99.016666666662,"answer":"00:00"}
13	72	445F8275-7B87-788C-B217-493A462EA488	1527519657	{"won":false,"time":90.999999999996,"answer":"00:00"}
13	72	445F8275-7B87-788C-B217-493A462EA488	1527519702	{"won":false,"time":90.999999999996,"answer":"00:00"}
13	71	445F8275-7B87-788C-B217-493A462EA488	1527519735	{"won":false,"time":90.999999999996,"answer":"00:00"}
11	72	D3C1E445-F51B-B5AA-B1ED-E831E84B2268	1527522281	{"won":false,"time":187.16666666671,"answer":"05:40"}
13	72	C852FAA7-98DD-697D-8996-26D360393BAC	1527522496	NULL
15	72	A764319D-028E-4871-DEE0-0C45E6028CF1	1527522658	{"won":true,"time":84.73333333333}
5	71	C43D539F-97F7-8C6D-551D-CEF77E65F133	1527524046	{"won":true,"time":30.183333333333}
9	72	E3DC997E-3CB5-824A-078E-B4A0B52FC9D1	1527524401	NULL
9	72	485DCFAE-649D-B18C-E6CB-A7AB7452082B	1527524580	{"won":true,"time":115.14999999999}
11	72	6736809C-9EF8-3D01-109B-160AA40D1229	1527524824	{"won":true,"time":70.433333333331}
11	71	6736809C-9EF8-3D01-109B-160AA40D1229	1527524968	{"won":true,"time":70.433333333331}
9	72	9FD10814-9901-E2C3-BE7F-5A170918B8D7	1527526682	{"won":true,"time":99.249999999996}
9	71	9CE1CDDE-B88C-77A3-55F8-53E9B80DAD44	1527534216	NULL
9	72	9CE1CDDE-B88C-77A3-55F8-53E9B80DAD44	1527534216	NULL
9	72	FA367BFA-8551-D1E4-7A89-A402083010D3	1527536748	{"won":true,"time":67.299999999997}
11	72	7BD0AB6D-E75C-E2C7-F0BE-D7D476B20FE8	1527536972	{"won":false,"time":200.33333333338,"answer":"05:40"}
17	72	29C20B10-BD03-63E6-11A5-DE0E7741355A	1527537992	{"won":true,"time":158.35000000002}
17	72	29C20B10-BD03-63E6-11A5-DE0E7741355A	1527538046	{"won":true,"time":158.35000000002}
17	72	0BA0E43D-EC90-AF1F-439E-87449D756898	1527541562	{"won":false,"time":87.799999999996,"answer":"08:88"}
5	71	3CB571EB-CB11-F4AB-0820-726171E4A865	1527544246	{"won":true,"time":15.333333333334}
11	72	B00F9064-ED36-A27F-51D2-79D61C115F00	1527544694	{"won":true,"time":166.83333333336}
15	72	E9F0AAE8-2602-6A3D-F012-D41BFA019D0C	1527545345	{"won":true,"time":106.05}
9	72	A8C23C35-9FA2-3B72-770F-9E65C32A2505	1527546244	{"won":true,"time":73.88333333333}
11	72	AB9911CA-4BDF-A9A1-E242-3594604CFA1B	1527546370	{"won":true,"time":158.53333333335}
13	72	D18B5E7D-939E-AFBA-8177-984DDCE24687	1527546621	NULL
9	72	20FB743B-8253-1F4E-00DF-D073D53E5E1E	1527547588	{"won":true,"time":112.36666666666}
13	72	FB613101-E1F1-B49F-F385-3B66F4727C8F	1527547647	{"won":false,"time":83.849999999997,"answer":"00:00"}
13	72	FB613101-E1F1-B49F-F385-3B66F4727C8F	1527547659	{"won":false,"time":83.849999999997,"answer":"00:00"}
15	72	C88765F3-8362-2742-C168-7EC1B74F454C	1527547812	{"won":false,"time":117.13333333333,"answer":"00:00"}
15	72	C88765F3-8362-2742-C168-7EC1B74F454C	1527547821	{"won":false,"time":117.13333333333,"answer":"00:00"}
11	72	A4B3CB0C-FBFD-2FA3-585E-C627067E445A	1527547870	NULL
17	71	0B61124B-B98F-A02E-83BF-AD1C6E621532	1527548151	{"won":false,"time":30.333333333333,"answer":"16:35"}
17	71	0B61124B-B98F-A02E-83BF-AD1C6E621532	1527548151	{"won":false,"time":30.333333333333,"answer":"16:35"}
7	71	0D2AA3CB-5FA9-D2B2-C460-4B891234A38E	1527549527	{"won":true,"time":34.166666666666}
9	72	183C74FA-AD18-03FB-5A16-95188C1392F1	1527549697	{"won":false,"time":9.1091578724445e-11,"answer":"06:59"}
11	71	80C92F65-1AE8-55E3-E60A-1B202669C94F	1527550251	{"won":false,"time":6.9775296651642e-11,"answer":null}
11	72	80C92F65-1AE8-55E3-E60A-1B202669C94F	1527550257	{"won":false,"time":6.9775296651642e-11,"answer":null}
11	71	80C92F65-1AE8-55E3-E60A-1B202669C94F	1527550302	{"won":false,"time":6.9775296651642e-11,"answer":null}
13	72	823C15D5-4F93-EB80-DB79-C1AEA75E43D2	1527550308	{"won":false,"time":162.10000000002,"answer":"00:00"}
13	72	823C15D5-4F93-EB80-DB79-C1AEA75E43D2	1527550319	{"won":false,"time":162.10000000002,"answer":"00:00"}
9	72	FF5BC358-1CBC-074D-AD21-A1BD2FB46AF9	1527550494	NULL
13	72	7767812B-B629-ADD5-FC30-43826E1CF4EA	1527550722	{"won":false,"time":3.5385028240853e-11,"answer":"00:00"}
11	71	6C50D921-7F04-1848-F1FF-81A9797B7C16	1527551533	{"won":true,"time":122.66666666666}
11	72	6C50D921-7F04-1848-F1FF-81A9797B7C16	1527551545	{"won":true,"time":122.66666666666}
9	72	FFF585A8-DAA2-BE46-978E-3F9180BD18E3	1527551820	{"won":true,"time":108.26666666666}
9	71	FFF585A8-DAA2-BE46-978E-3F9180BD18E3	1527551841	{"won":true,"time":108.26666666666}
11	72	D0529262-F278-96F1-1641-4A1DBA9D94B7	1527555087	{"won":false,"time":238.08333333341,"answer":"05:40"}
13	72	97CBEC79-5C88-0583-0DFD-29E9B385D2B2	1527555685	{"won":false,"time":104.66666666666,"answer":"00:00"}
9	71	7710435B-6CBC-2326-59CE-1059B65157CE	1527556016	NULL
9	72	7710435B-6CBC-2326-59CE-1059B65157CE	1527556019	NULL
9	72	49462B19-8361-0A5C-A3A9-2DB105CBFE23	1527556323	{"won":true,"time":206.43333333339}
9	72	47505F03-0AFC-8F41-6A4A-BC033DABC154	1527557119	{"won":true,"time":32.466666666666}
9	72	68E1A218-C907-B802-F427-9A53057C4223	1527557154	{"won":true,"time":100.36666666666}
9	72	F7602C7D-75AE-6904-79B7-2C50FE479C67	1527557520	{"won":true,"time":92.083333333329}
9	72	E4A6A39D-6774-B849-296F-9959AEB57E3B	1527557877	{"won":false,"time":8.7588603037148e-11,"answer":"106:35"}
9	71	E4A6A39D-6774-B849-296F-9959AEB57E3B	1527558036	{"won":false,"time":8.7588603037148e-11,"answer":"106:35"}
9	72	7B5E862D-8E61-0AC1-8A11-93F94F604128	1527558193	{"won":false,"time":8.3133500083932e-11,"answer":"1010:35"}
9	72	64746231-CCD5-E300-33CF-34FA44D0AC2B	1527559406	{"won":true,"time":147.93333333334}
15	72	5B401C93-4B78-FB6B-EC9F-B1CDD5F24D78	1527560062	{"won":true,"time":117.31666666666}
15	72	5B401C93-4B78-FB6B-EC9F-B1CDD5F24D78	1527560067	{"won":true,"time":117.31666666666}
9	72	104F73E2-B21F-7399-0684-C170955FA81E	1527560376	{"won":true,"time":136.03333333333}
9	71	104F73E2-B21F-7399-0684-C170955FA81E	1527560443	{"won":true,"time":136.03333333333}
15	72	E57C8FAC-8A21-EBBA-712C-02C2993F2689	1527561146	{"won":false,"time":2.742694960034e-11,"answer":"00:00"}
17	72	B9C0514A-F343-B519-0AF4-9AFED3BD5DD0	1527561426	{"won":false,"time":157.23333333335,"answer":"00:00"}
11	72	B6D2428C-3093-8F40-3714-81F529C1DFBF	1527562625	{"won":true,"time":252.35000000009}
13	72	DDFF0082-AD0C-FBE6-BDE8-9C6B46A41242	1527562841	{"won":false,"time":81.28333333333,"answer":"00:00"}
9	72	CD6ED8D6-C96F-123F-B78C-6E7D58D1FCC1	1527563700	{"won":true,"time":141.76666666667}
13	72	F21D4277-D017-2705-C948-7D73720C8C0A	1527564067	{"won":false,"time":152.16666666668,"answer":"00:00"}
13	72	F21D4277-D017-2705-C948-7D73720C8C0A	1527564070	{"won":false,"time":152.16666666668,"answer":"00:00"}
15	72	804DC6D4-E370-B16F-BF9D-48A8BFE55CF4	1527565043	{"won":false,"time":126.83333333333,"answer":"00:00"}
15	72	804DC6D4-E370-B16F-BF9D-48A8BFE55CF4	1527565046	{"won":false,"time":126.83333333333,"answer":"00:00"}
13	72	86301A54-8995-E6E9-3559-12F6EDDCCC5A	1527565699	{"won":false,"time":116.74999999999,"answer":"00:00"}
13	72	86301A54-8995-E6E9-3559-12F6EDDCCC5A	1527565702	{"won":false,"time":116.74999999999,"answer":"00:00"}
13	71	86301A54-8995-E6E9-3559-12F6EDDCCC5A	1527565778	{"won":false,"time":116.74999999999,"answer":"00:00"}
13	71	86301A54-8995-E6E9-3559-12F6EDDCCC5A	1527565780	{"won":false,"time":116.74999999999,"answer":"00:00"}
15	72	758CD4EE-176D-E0E5-3392-9B18137939E9	1527566526	{"won":false,"time":41.466666666666,"answer":"00:00"}
15	72	758CD4EE-176D-E0E5-3392-9B18137939E9	1527566529	{"won":false,"time":41.466666666666,"answer":"00:00"}
15	71	758CD4EE-176D-E0E5-3392-9B18137939E9	1527566769	{"won":false,"time":41.466666666666,"answer":"00:00"}
15	71	758CD4EE-176D-E0E5-3392-9B18137939E9	1527566769	{"won":false,"time":41.466666666666,"answer":"00:00"}
15	71	758CD4EE-176D-E0E5-3392-9B18137939E9	1527566769	{"won":false,"time":41.466666666666,"answer":"00:00"}
15	72	CBE9C6B2-54F3-5519-77C5-DB0E78E29FBC	1527567236	{"won":false,"time":50.499999999998,"answer":"00:00"}
15	72	CBE9C6B2-54F3-5519-77C5-DB0E78E29FBC	1527567239	{"won":false,"time":50.499999999998,"answer":"00:00"}
11	72	73C5121D-5C3F-4C09-111D-5576F34F90D9	1527568051	{"won":false,"time":242.53333333342,"answer":"05:40"}
13	71	3B4E1525-5A6F-EB2E-7696-E127223B8B74	1527568433	{"won":true,"time":28.216666666666}
15	72	D0578967-3D72-2EA7-8BB3-68B230C78638	1527568598	{"won":false,"time":181.63333333337,"answer":"00:00"}
15	72	D0578967-3D72-2EA7-8BB3-68B230C78638	1527568662	{"won":false,"time":181.63333333337,"answer":"00:00"}
17	72	DE891FD6-D33F-0944-58E9-A3A197037977	1527568842	{"won":false,"time":96.066666666662,"answer":"00:00"}
11	72	B6724B9B-30E5-50C8-0FAF-328C0A2CEF12	1527571503	{"won":true,"time":88.33333333333}
15	72	7CBEC26F-06C7-FA14-E629-6AC45E6E618F	1527572300	{"won":true,"time":38.949999999999}
9	72	9FF1CBA5-8A4A-B9C3-E6EA-7EE2F01B2F2A	1527572830	{"won":false,"time":122.83333333333,"answer":"07:40"}
9	72	C425DC6E-FDB7-761A-4C90-9B99AC523D31	1527573625	{"won":false,"time":57.133333333331,"answer":"14:70"}
13	72	602CB39C-2F4E-536E-2DA2-028AA96B8C7B	1527573697	{"won":true,"time":76.53333333333}
13	72	602CB39C-2F4E-536E-2DA2-028AA96B8C7B	1527573703	{"won":true,"time":76.53333333333}
